,Name,Position,Rookie PPG,FGA,FG_Pct,Games Played,MPG,Rebounds,Assists,Steals,3 Pt. Att,3 Pt. Pct,FT Pct,Sophomore PPG
131,Darrell Armstrong,PG,3.3,2.7,.375,3,2.7,0.3,1.0,0.3,2.0,.333,1.000,3.2
132,Hilton Armstrong,C,3.1,2.2,.544,56,11.3,2.7,0.2,0.2,0.0,,.597,2.7
133,Tate Armstrong,SG,4.3,4.2,.468,66,10.8,1.0,1.1,0.3,0,N/A,.815,2.5
134,Jesse Arnelle,PF,4.7,5.3,.317,31,13.2,5.5,0.6,0,0,N/A,.623,0
135,Jay Arnette,PG,3.8,4.1,.362,48,10.4,1.1,1.5,0,0,N/A,.778,3.8
136,Bob Arnzen,SF,3.1,3.7,.396,13,7.5,1.7,0.4,,0.1,.000,.333,5.5
137,Carlos Arroyo,PG,3.0,3.0,.441,37,10.0,1.1,1.9,0.3,0.1,.000,.722,2.8
138,Darrell Arthur,PF,5.6,5.7,.438,76,19.3,4.6,0.6,0.7,0.0,.000,.667,4.5
139,John Arthurs,,3.2,3.2,.343,11,7.8,1.3,1.5,0,0,N/A,.733,0
140,Jamel Artis,SG,5.1,5.3,.392,15,18.6,2.5,1.2,0.1,1.9,.276,.583,0
141,Ömer Aşık,C,2.8,1.7,.553,82,12.1,3.7,0.4,0.2,0.0,,.503,3.1
142,Vincent Askew,SG,3.7,5.3,.297,14,16.7,1.6,2.4,0.7,0.0,,.727,4.7
143,Keith Askins,SF,2.2,2.1,.420,39,6.8,1.7,0.5,0.4,0.6,.240,.480,3.7
144,Don Asmonga,,0.7,2.1,.133,7,6.6,0.1,0.7,0,0,N/A,1.000,0
145,Dick Atha,SG,3.7,3.5,.409,25,11.5,1.7,1.3,0,0,N/A,.778,2.4
146,Chucky Atkins,PG,9.5,9.0,.424,82,19.8,1.5,3.7,0.6,2.0,.350,.729,12.0
147,Al Attles*,PG,7.0,7.1,.409,77,20.1,2.8,2.3,0,0,N/A,.599,11.3
148,Chet Aubuchon,,2.2,3.0,.253,30,,,0.7,0,0,N/A,.543,0
149,Stacey Augmon,SG,13.3,11.0,.489,82,30.5,5.1,2.5,1.5,0.1,.167,.666,14.0
150,James Augustine,PF,1.0,1.5,.333,2,3.5,1.5,1.0,0.0,0.0,,,1.6
151,Isaac Austin,C,2.0,1.5,.457,31,3.6,1.1,0.2,0.1,0.0,,.633,2.8
152,Johnny Austin,SG,5.8,5.5,.227,4,15.3,1.8,1.0,0,,,.813,7.7
153,Ken Austin,SF,1.7,1.9,.462,7,4.0,0.4,0.1,0.1,0.0,,,0
154,Anthony Avent,PF,9.8,9.8,.433,82,27.9,6.2,1.1,0.7,0.0,.000,.651,5.3
155,Bird Averitt,SG,11.5,12.3,.376,74,22.1,1.6,1.8,0.9,0.7,.180,.696,13.1
156,William Avery,PG,2.6,3.1,.309,59,8.2,0.7,1.5,0.2,1.1,.286,.667,2.8
157,Dennis Awtrey,C,7.2,6.0,.475,70,18.5,6.1,1.3,,,,.662,4.2
158,Gustavo Ayón,PF,5.9,4.8,.536,54,20.1,4.9,1.4,1.0,0.0,.000,.619,3.7
159,Deandre Ayton,C,16.3,12.3,.585,71,30.7,10.3,1.8,0.9,0.1,.000,.746,18.0
160,Kelenna Azubuike,SG,7.1,5.4,.445,41,16.3,2.3,0.7,0.5,1.9,.430,.782,8.5
